Stn	T4700	G150	T1966	T461	T1338	T3133	Spp
North Atlantic 5	70-70	131-131	101-101	142-142	92-92	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	134-142	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	119-119	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	140-140	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
North Atlantic 5	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	83-83	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-142	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	138-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	NA	119-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	NA	119-119	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-142	82-82	119-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	NA	107-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	NA	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	NA	119-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	82-82	119-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	NA	117-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	NA	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	140-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-142	82-82	120-124	Calanus finmarchicus
Nansen Basin	70-70	131-131	101-101	141-142	82-82	120-120	Calanus finmarchicus
Nansen Basin	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	80-80	110-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	NA	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	NA	79-79	NA	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-138	80-80	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-138	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-138	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-138	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-138	80-80	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-138	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	80-80	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
Nansen Basin	67-67	161-161	99-99	135-138	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	80-80	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	80-80	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	80-80	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-138	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-138	80-80	110-110	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Chuckchi Sea	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-117	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	70-70	131-131	102-102	141-141	82-82	120-120	Calanus finmarchicus
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-138	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-138	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-138	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-114	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	97-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-138	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-138	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	112-112	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Laptev Sea	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Mistfjord 1	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Mistfjord 1	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Mistfjord 1	70-70	131-131	101-101	141-141	NA	119-119	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	141-141	82-82	117-117	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	141-141	NA	117-117	Calanus finmarchicus
Mistfjord 1	67-67	161-161	99-99	134-138	79-79	109-111	Calanus glacialis
Mistfjord 1	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Mistfjord 1	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Mistfjord 1	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
Mistfjord 1	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	141-141	82-82	117-117	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	142-142	NA	119-119	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Mistfjord 1	67-67	131-161	99-99	NA	79-79	109-109	Calanus glacialis
Mistfjord 1	67-67	161-161	99-99	135-135	80-80	110-110	Calanus glacialis
Mistfjord 1	70-70	131-131	102-102	NA	82-82	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	NA	NA	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	142-142	NA	119-119	Calanus finmarchicus
Mistfjord 1	67-67	161-161	99-99	NA	79-79	111-111	Calanus glacialis
Mistfjord 1	67-67	161-161	99-99	NA	79-79	110-110	Calanus glacialis
Mistfjord 1	70-70	131-131	101-101	NA	82-82	NA	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Mistfjord 1	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Mistfjord 1	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	NA	NA	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	NA	82-82	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	102-102	141-141	82-82	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Mistfjord 1	70-70	131-131	101-101	NA	82-82	119-119	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	NA	82-82	119-119	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	82-82	117-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-141	82-82	107-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	NA	117-120	Calanus finmarchicus
Ice North Svalbard 	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Ice North Svalbard 	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-142	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-146	82-82	117-117	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	NA	119-119	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	140-140	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	83-83	119-119	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	140-140	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	82-82	119-119	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	140-140	82-82	119-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	77-77	119-119	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	140-140	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-146	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	67-67	161-161	99-99	134-134	79-79	111-111	Calanus glacialis
Ice North Svalbard 	70-70	131-131	101-101	141-141	82-82	117-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	NA	119-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	83-83	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-141	NA	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	140-140	NA	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	142-142	NA	120-120	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	67-67	161-161	99-99	134-134	79-79	110-110	Calanus glacialis
Ice North Svalbard 	70-70	131-131	101-101	142-142	82-82	117-117	Calanus finmarchicus
Ice North Svalbard 	70-70	131-131	101-101	141-141	82-82	120-120	Calanus finmarchicus
Ice North Svalbard 	67-67	161-161	99-99	135-135	80-80	111-111	Calanus glacialis
North Pole	67-67	161-161	99-99	135-138	79-79	111-111	Calanus glacialis
North Pole	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
North Pole	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
North Pole	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
North Pole	67-67	161-161	99-99	135-135	79-79	110-110	Calanus glacialis
North Pole	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
North Pole	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
North Pole	67-67	161-161	99-99	135-135	79-79	111-111	Calanus glacialis
